Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC80380252014019LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20140119180135_20140119184611.01,LT8BPF20140119175741_20140119184704.03,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/01/19,2014:019:18:06:17.6426990,2014:019:18:06:49.4126950,9,14.3,17.60763049,160.91721657,8.35,8.692,59,3,Y,LPGS_2.6.0,50°16'52.50"N,108°20'27.17"W,51°21'04.36"N,109°17'59.17"W,50°53'35.95"N,106°39'39.42"W,49°11'38.83"N,107°25'52.86"W,49°38'41.50"N,109°58'48.50"W,50.28125,-108.34088,51.35121,-109.29977,50.89332,-106.66095,49.19412,-107.43135,49.64486,-109.98014,LC80380252014019LGN00,LC80380252014019LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252014019LGN00
LC80370252013361LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20131227175653_20131227183932.01,LT8BPF20131227175259_20131227184025.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/27,2013:361:18:00:23.9860970,2013:361:18:00:55.7560930,9,16.06,15.08964381,163.89277181,6.367,6.152,38,3,Y,LPGS_2.6.0,50°16'52.68"N,106°48'27.22"W,51°21'04.82"N,107°45'59.65"W,50°53'35.27"N,105°07'37.99"W,49°11'38.80"N,105°53'52.40"W,49°38'42.61"N,108°26'50.28"W,50.2813,-106.80756,51.35134,-107.76657,50.89313,-105.12722,49.19411,-105.89789,49.64517,-108.4473,LC80370252013361LGN00,LC80370252013361LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252013361LGN00
LC80370252013345LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20131211175638_20131211183939.02,LT8BPF20131211175244_20131211184032.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/11,2013:345:18:00:33.0476740,2013:345:18:01:04.8176700,9,50.53,15.66456587,165.7088568,6.248,6.784,43,3,Y,LPGS_2.6.0,50°16'51.56"N,106°48'37.26"W,51°21'03.85"N,107°46'07.46"W,50°53'34.51"N,105°07'49.37"W,49°11'37.50"N,105°54'04.61"W,49°38'41.06"N,108°26'59.03"W,50.28099,-106.81035,51.35107,-107.76874,50.89292,-105.13038,49.19375,-105.90128,49.64474,-108.44973,LC80370252013345LGN00,LC80370252013345LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252013345LGN00
LC80370252013329LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20131125175815_20131125183940.01,LT8BPF20131125175421_20131125184033.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/11/25,2013:329:18:00:34.3817740,2013:329:18:01:06.1517700,9,66.84,18.05348269,166.88065256,5.62,6.712,46,3,Y,LPGS_2.6.0,50°16'51.89"N,106°47'07.91"W,51°21'04.43"N,107°44'35.41"W,50°53'35.70"N,105°06'22.00"W,49°11'37.57"N,105°52'37.99"W,49°38'40.60"N,108°25'27.77"W,50.28108,-106.78553,51.35123,-107.74317,50.89325,-105.10611,49.19377,-105.87722,49.64461,-108.42438,LC80370252013329LGN00,LC80370252013329LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252013329LGN00
LC80370252013313LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20131109175736_20131109183612.01,LT8BPF20131109174842_20131109183705.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/11/09,2013:313:18:00:42.6883960,2013:313:18:01:14.4583920,9,71.13,21.95317495,167.08990046,5.027,6.801,75,3,Y,LPGS_2.6.0,50°16'51.71"N,106°47'35.12"W,51°21'04.39"N,107°45'01.08"W,50°53'35.81"N,105°06'50.00"W,49°11'37.32"N,105°53'06.58"W,49°38'40.13"N,108°25'53.98"W,50.28103,-106.79309,51.35122,-107.7503,50.89328,-105.11389,49.1937,-105.88516,49.64448,-108.43166,LC80370252013313LGN00,LC80370252013313LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252013313LGN00
LC80380252013304LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20131031180035_20131031184646.02,LT8BPF20131031175641_20131031184739.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/31,2013:304:18:06:52.9386430,2013:304:18:07:24.7086390,9,85.68,24.657045,166.72980418,5.585,6.499,32,2,Y,LPGS_2.5.0,50°16'52.54"N,108°19'10.20"W,51°21'05.36"N,109°16'35.40"W,50°53'36.38"N,106°38'24.97"W,49°11'37.97"N,107°24'42.34"W,49°38'41.14"N,109°57'29.09"W,50.28126,-108.3195,51.35149,-109.2765,50.89344,-106.64027,49.19388,-107.41176,49.64476,-109.95808,LC80380252013304LGN00,LC80380252013304LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252013304LGN00
LC80370252013297LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20131024175339_20131024182303.01,LT8BPF20131024174945_20131024182356.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/24,2013:297:18:00:44.2213660,2013:297:18:01:15.9913620,9,3.08,26.9490974,166.19332033,4.782,6.273,303,2,Y,LPGS_2.5.0,50°16'51.64"N,106°46'31.30"W,51°21'04.46"N,107°43'57.25"W,50°53'35.48"N,105°05'45.89"W,49°11'37.18"N,105°52'03.00"W,49°38'40.38"N,108°24'50.54"W,50.28101,-106.77536,51.35124,-107.73257,50.89319,-105.09608,49.19366,-105.8675,49.64455,-108.41404,LC80370252013297LGN00,LC80370252013297LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252013297LGN00
LC80380252013288LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20131015175844_20131015181434.01,LT8BPF20131015175450_20131015181527.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/15,2013:288:18:07:00.6519280,2013:288:18:07:32.4219240,9,2.05,30.06472424,165.19083303,5.08,5.318,349,2,Y,LPGS_2.5.0,50°16'52.36"N,108°19'48.47"W,51°21'05.22"N,109°17'15.07"W,50°53'35.48"N,106°39'01.98"W,49°11'37.75"N,107°25'19.63"W,49°38'41.75"N,109°58'08.83"W,50.28121,-108.33013,51.35145,-109.28752,50.89319,-106.65055,49.19382,-107.42212,49.64493,-109.96912,LC80380252013288LGN00,LC80380252013288LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252013288LGN00
LC80370252013281LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20131008175234_20131008182310.01,LT8BPF20131008174840_20131008182403.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/10/08,2013:281:18:00:51.4556310,2013:281:18:01:23.2256270,9,1.63,32.5795835,164.17613441,4.957,5.346,368,2,Y,LPGS_2.5.0,50°16'51.13"N,106°47'05.93"W,51°21'03.96"N,107°44'34.22"W,50°53'33.72"N,105°06'18.07"W,49°11'36.49"N,105°52'35.26"W,49°38'40.92"N,108°25'27.44"W,50.28087,-106.78498,51.3511,-107.74284,50.8927,-105.10502,49.19347,-105.87646,49.6447,-108.42429,LC80370252013281LGN00,LC80370252013281LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252013281LGN00
LC80380252013272LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20130929175557_20130929181435.01,LT8BPF20130929175203_20130929181528.01,L8CPF20130920_20130930.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/09/29,2013:272:18:07:01.4641930,2013:272:18:07:33.2341890,9,65.14,35.86213704,162.60747016,5.597,5.224,174,2,Y,LPGS_2.5.0,50°16'51.49"N,108°18'58.43"W,51°21'04.36"N,109°16'27.59"W,50°53'33.43"N,106°38'09.53"W,49°11'36.85"N,107°24'27.11"W,49°38'42.00"N,109°57'21.20"W,50.28097,-108.31623,51.35121,-109.27433,50.89262,-106.63598,49.19357,-107.40753,49.645,-109.95589,LC80380252013272LGN00,LC80380252013272LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252013272LGN00
