Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC80210282016194LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20160712150526_20160712163110.01,LT8BPF20160707083823_20160707085159.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/12,2016:194:16:21:12.8218470,2016:194:16:21:44.5918430,9,46.45,60.93926709,139.69077368,5.875,5.443,189,4,Y,LPGS_2.6.2,46°01'47.68"N,83°43'38.10"W,47°05'35.95"N,84°37'33.82"W,46°39'33.05"N,82°11'47.94"W,44°57'00.68"N,82°52'06.85"W,45°22'46.96"N,85°13'31.19"W,46.02991,-83.72725,47.09332,-84.62606,46.65918,-82.19665,44.95019,-82.86857,45.37971,-85.22533,LC80210282016194LGN00,LC80210282016194LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282016194LGN00
LC80210272016194LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20160712150526_20160712163110.01,LT8BPF20160707083823_20160707085159.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/12,2016:194:16:20:48.9392810,2016:194:16:21:20.7092780,9,76.46,60.02864384,142.00647084,5.969,5.236,63,4,Y,LPGS_2.6.2,47°26'57.08"N,83°11'17.77"W,48°30'53.14"N,84°06'20.81"W,48°04'22.40"N,81°36'41.33"W,46°22'01.27"N,82°18'49.32"W,46°48'12.56"N,84°43'48.29"W,47.44919,-83.18827,48.51476,-84.10578,48.07289,-81.61148,46.36702,-82.3137,46.80349,-84.73008,LC80210272016194LGN00,LC80210272016194LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272016194LGN00
LC80220272016185LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160703151157_20160703163653.01,LT8BPF20160620195437_20160707083823.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/03,2016:185:16:26:55.6945110,2016:185:16:27:27.4645080,9,1.34,61.09678361,141.59947158,4.691,4.398,571,4,Y,LPGS_2.6.2,47°26'56.69"N,84°43'46.67"W,48°30'52.88"N,85°38'49.70"W,48°04'21.86"N,83°09'10.15"W,46°22'00.80"N,83°51'18.54"W,46°48'12.38"N,86°16'17.58"W,47.44908,-84.72963,48.51469,-85.64714,48.07274,-83.15282,46.36689,-83.85515,46.80344,-86.27155,LC80220272016185LGN00,LC80220272016185LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016185LGN00
LC80210282016178LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20160626160846_20160626163102.02,LT8BPF20160620195437_20160707083823.01,L8CPF20160401_20160630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/26,2016:178:16:21:04.9213610,2016:178:16:21:36.6913580,9,85.06,62.53326964,139.28005534,6.426,6.615,42,4,Y,LPGS_2.6.2,46°01'46.34"N,83°43'13.33"W,47°05'34.55"N,84°37'09.19"W,46°39'31.50"N,82°11'22.96"W,44°56'59.35"N,82°51'41.90"W,45°22'45.73"N,85°13'06.67"W,46.02954,-83.72037,47.09293,-84.61922,46.65875,-82.18971,44.94982,-82.86164,45.37937,-85.21852,LC80210282016178LGN00,LC80210282016178LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282016178LGN00
LC80220272016169LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160617151148_20160617163643.01,LT8BPF20160606063351_20160620173313.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/17,2016:169:16:26:46.0873340,2016:169:16:27:17.8573310,9,.03,61.89146796,142.4775488,4.482,4.543,601,4,Y,LPGS_2.6.2,47°26'57.23"N,84°42'58.36"W,48°30'53.42"N,85°38'01.39"W,48°04'22.26"N,83°08'21.55"W,46°22'01.38"N,83°50'30.08"W,46°48'13.10"N,86°15'29.41"W,47.44923,-84.71621,48.51484,-85.63372,48.07285,-83.13932,46.36705,-83.84169,46.80364,-86.25817,LC80220272016169LGN00,LC80220272016169LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016169LGN00
LC80210272016162LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20160610160839_20160610163055.01,LT8BPF20160606063351_20160620173313.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/10,2016:162:16:20:34.1815070,2016:162:16:21:05.9515040,9,4,61.74505825,143.40295071,4.533,4.912,465,4,Y,LPGS_2.6.2,47°26'56.11"N,83°10'47.96"W,48°30'52.31"N,84°05'51.14"W,48°04'21.29"N,81°36'11.23"W,46°22'00.30"N,82°18'19.44"W,46°48'11.88"N,84°43'18.88"W,47.44892,-83.17999,48.51453,-84.09754,48.07258,-81.60312,46.36675,-82.3054,46.8033,-84.72191,LC80210272016162LGN00,LC80210272016162LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272016162LGN00
LC80210282016162LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20160610160839_20160610163055.01,LT8BPF20160606063351_20160620173313.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/10,2016:162:16:20:58.0640720,2016:162:16:21:29.8340690,9,2.37,62.68189017,140.97971511,5.18,5.149,402,4,Y,LPGS_2.6.2,46°01'46.92"N,83°43'08.58"W,47°05'35.23"N,84°37'04.33"W,46°39'32.04"N,82°11'18.06"W,44°57'00.00"N,82°51'37.30"W,45°22'46.52"N,85°13'02.14"W,46.0297,-83.71905,47.09312,-84.61787,46.6589,-82.18835,44.95,-82.86036,45.37959,-85.21726,LC80210282016162LGN00,LC80210282016162LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282016162LGN00
LC80210282016146LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20160525160835_20160525163051.01,LT8BPF20160522121054_20160606055146.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/25,2016:146:16:20:54.3601760,2016:146:16:21:26.1301730,9,28.88,61.19121931,143.97142756,5.464,5.666,249,4,Y,LPGS_2.6.2,46°01'46.56"N,83°43'58.94"W,47°05'35.02"N,84°37'54.62"W,46°39'31.72"N,82°12'08.53"W,44°56'59.64"N,82°52'27.77"W,45°22'46.27"N,85°13'52.46"W,46.0296,-83.73304,47.09306,-84.63184,46.65881,-82.20237,44.9499,-82.87438,45.37952,-85.23124,LC80210282016146LGN00,LC80210282016146LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282016146LGN00
LC80210272016146LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20160525160835_20160525163051.01,LT8BPF20160522121054_20160606055146.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/25,2016:146:16:20:30.4691390,2016:146:16:21:02.2391360,9,38.05,60.19941558,146.18031853,5.083,5.771,254,4,Y,LPGS_2.6.2,47°26'57.77"N,83°11'37.64"W,48°30'54.00"N,84°06'40.57"W,48°04'22.91"N,81°37'00.77"W,46°22'01.78"N,82°19'09.23"W,46°48'13.46"N,84°44'08.56"W,47.44938,-83.19379,48.515,-84.11127,48.07303,-81.61688,46.36716,-82.31923,46.80374,-84.73571,LC80210272016146LGN00,LC80210272016146LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272016146LGN00
LC80220272016137LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160516151139_20160516163634.01,LT8BPF20160507073845_20160522095010.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/16,2016:137:16:26:37.3623380,2016:137:16:27:09.1323350,9,67.93,58.59277432,147.79835246,4.402,5.58,155,4,Y,LPGS_2.6.2,47°26'57.44"N,84°44'18.02"W,48°30'53.78"N,85°39'20.56"W,48°04'22.51"N,83°09'41.29"W,46°22'01.49"N,83°51'50.15"W,46°48'13.32"N,86°16'48.90"W,47.44929,-84.73834,48.51494,-85.65571,48.07292,-83.16147,46.36708,-83.86393,46.8037,-86.28025,LC80220272016137LGN00,LC80220272016137LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016137LGN00
