Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC80210272016130LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20160509160831_20160509163047.01,LT8BPF20160507073845_20160522095010.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/09,2016:130:16:20:26.4829140,2016:130:16:20:58.2529100,9,.55,56.99758786,148.9599657,4.334,5.125,519,4,Y,LPGS_2.6.2,47°26'56.15"N,83°12'28.26"W,48°30'52.45"N,84°07'29.71"W,48°04'21.58"N,81°37'52.25"W,46°22'00.19"N,82°20'01.21"W,46°48'11.59"N,84°44'58.24"W,47.44893,-83.20785,48.51457,-84.12492,48.07266,-81.63118,46.36672,-82.33367,46.80322,-84.74951,LC80210272016130LGN00,LC80210272016130LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272016130LGN00
LC80210282016130LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20160509160831_20160509163047.01,LT8BPF20160507073845_20160522095010.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/09,2016:130:16:20:50.3654790,2016:130:16:21:22.1354760,9,.02,58.04192335,147.05690316,5.22,5.242,430,4,Y,LPGS_2.6.2,46°01'46.70"N,83°44'49.20"W,47°05'35.16"N,84°38'43.48"W,46°39'32.11"N,82°12'59.58"W,44°56'59.64"N,82°53'19.28"W,45°22'46.02"N,85°14'41.78"W,46.02964,-83.747,47.0931,-84.64541,46.65892,-82.21655,44.9499,-82.88869,45.37945,-85.24494,LC80210282016130LGN00,LC80210282016130LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282016130LGN00
LC80220272016121LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160430161444_20160430163637.01,LT8BPF20160422201524_20160507073029.01,L8CPF20160401_20160630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/04/30,2016:121:16:26:39.7387820,2016:121:16:27:11.5087790,9,38.43,54.53916173,150.2107227,5.704,5.442,218,4,Y,LPGS_2.6.2,47°26'57.55"N,84°48'49.43"W,48°30'51.44"N,85°43'57.40"W,48°04'26.11"N,83°14'15.83"W,46°22'03.72"N,83°56'15.97"W,46°48'09.79"N,86°21'16.85"W,47.44932,-84.81373,48.51429,-85.73261,48.07392,-83.23773,46.3677,-83.93777,46.80272,-86.35468,LC80220272016121LGN00,LC80220272016121LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016121LGN00
LC80210282016114LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20160423160828_20160423163045.01,LT8BPF20160422201524_20160507073029.01,L8CPF20160401_20160630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/04/23,2016:114:16:20:47.6294210,2016:114:16:21:19.3994180,9,8.04,53.45661124,149.50508322,5.437,5.525,383,4,Y,LPGS_2.6.2,46°01'46.16"N,83°46'00.70"W,47°05'32.39"N,84°40'00.05"W,46°39'34.92"N,82°14'14.17"W,44°57'01.22"N,82°54'25.81"W,45°22'42.20"N,85°15'50.08"W,46.02949,-83.76686,47.09233,-84.66668,46.6597,-82.23727,44.95034,-82.90717,45.37839,-85.26391,LC80210282016114LGN00,LC80210282016114LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282016114LGN00
LC80210272016114LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20160423160828_20160423163045.01,LT8BPF20160422201524_20160507073029.01,L8CPF20160401_20160630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/04/23,2016:114:16:20:23.7426200,2016:114:16:20:55.5126170,9,1.19,52.37172366,151.09952035,4.931,5.115,512,4,Y,LPGS_2.6.2,47°26'57.52"N,83°13'46.20"W,48°30'51.62"N,84°08'53.16"W,48°04'26.44"N,81°39'13.43"W,46°22'03.72"N,82°21'14.00"W,46°48'09.61"N,84°46'13.04"W,47.44931,-83.2295,48.51434,-84.1481,48.07401,-81.65373,46.3677,-82.35389,46.80267,-84.77029,LC80210272016114LGN00,LC80210272016114LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272016114LGN00
LC80220272016105LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160414143726_20160414163636.01,LT8BPF20160408000419_20160422175416.01,L8CPF20160401_20160630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/04/14,2016:105:16:26:39.0712130,2016:105:16:27:10.8412100,9,6.09,49.29814597,152.03321144,6.326,6.055,315,4,Y,LPGS_2.6.2,47°26'56.65"N,84°46'19.63"W,48°30'50.80"N,85°41'26.52"W,48°04'25.50"N,83°11'46.72"W,46°22'02.78"N,83°53'47.33"W,46°48'08.86"N,86°18'46.40"W,47.44907,-84.77212,48.51411,-85.6907,48.07375,-83.19631,46.36744,-83.89648,46.80246,-86.31289,LC80220272016105LGN00,LC80220272016105LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016105LGN00
LC80220272016089LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160329161449_20160329170150.01,LT8BPF20160324055900_20160407213750.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/03/29,2016:089:16:26:44.3167170,2016:089:16:27:16.0867140,9,4.24,43.26229265,153.28703291,6.539,6.551,384,4,Y,LPGS_2.6.2,47°26'57.08"N,84°45'32.83"W,48°30'51.23"N,85°40'40.12"W,48°04'25.46"N,83°10'59.34"W,46°22'02.96"N,83°53'00.17"W,46°48'09.47"N,86°18'00.22"W,47.44919,-84.75912,48.51423,-85.67781,48.07374,-83.18315,46.36749,-83.88338,46.80263,-86.30006,LC80220272016089LGN00,LC80220272016089LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016089LGN00
LC80210272016082LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20160322143126_20160322165632.01,LT8BPF20160309080230_20160324033852.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/03/22,2016:082:16:20:38.4698790,2016:082:16:21:10.2398760,9,51.89,40.49158904,153.74185811,5.209,6.215,186,4,Y,LPGS_2.6.2,47°26'56.58"N,83°13'07.61"W,48°30'50.90"N,84°08'15.07"W,48°04'24.64"N,81°38'33.65"W,46°22'02.46"N,82°20'35.02"W,46°48'09.43"N,84°45'35.71"W,47.44905,-83.21878,48.51414,-84.13752,48.07351,-81.64268,46.36735,-82.34306,46.80262,-84.75992,LC80210272016082LGN00,LC80210272016082LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272016082LGN00
LC80220272016073LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160313161634_20160313170312.02,LT8BPF20160309080230_20160324033852.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/03/13,2016:073:16:26:54.1833140,2016:073:16:27:25.9533100,9,82.87,36.90880973,154.31044371,8.659,8.614,148,4,Y,LPGS_2.6.2,47°26'56.22"N,84°46'06.24"W,48°30'50.58"N,85°41'13.92"W,48°04'24.20"N,83°11'32.14"W,46°22'02.14"N,83°53'33.43"W,46°48'09.22"N,86°18'34.49"W,47.44895,-84.7684,48.51405,-85.6872,48.07339,-83.19226,46.36726,-83.89262,46.80256,-86.30958,LC80220272016073LGN00,LC80220272016073LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016073LGN00
LC80220272016057LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160226161749_20160226170539.01,LT8BPF20160223122621_20160309074854.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/02/26,2016:057:16:26:57.3772930,2016:057:16:27:29.1472900,9,69.79,30.73590767,155.45219875,6.147,6.535,127,4,Y,LPGS_2.6.2,47°26'57.73"N,84°45'13.43"W,48°30'52.31"N,85°40'20.75"W,48°04'25.43"N,83°10'38.82"W,46°22'03.43"N,83°52'40.84"W,46°48'11.02"N,86°17'42.04"W,47.44937,-84.75373,48.51453,-85.67243,48.07373,-83.17745,46.36762,-83.87801,46.80306,-86.29501,LC80220272016057LGN00,LC80220272016057LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016057LGN00
LC80220272016041LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20160210161954_20160210170544.02,LT8BPF20160208080723_20160223100557.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/02/10,2016:041:16:27:02.6618040,2016:041:16:27:34.4318010,9,50.48,25.25306501,156.91317026,6.135,6.947,158,4,Y,LPGS_2.6.2,47°26'56.26"N,84°45'09.29"W,48°30'50.98"N,85°40'15.64"W,48°04'23.81"N,83°10'34.86"W,46°22'01.74"N,83°52'37.70"W,46°48'09.65"N,86°17'37.79"W,47.44896,-84.75258,48.51416,-85.67101,48.07328,-83.17635,46.36715,-83.87714,46.80268,-86.29383,LC80220272016041LGN00,LC80220272016041LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272016041LGN00
LC80210282016018LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20160118143655_20160118170004.01,LT8BPF20160110081635_20160124145303.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/01/18,2016:018:16:21:21.8576530,2016:018:16:21:53.6276500,9,76,20.76164111,159.05559976,5.897,7.355,34,4,Y,LPGS_2.6.2,46°01'47.78"N,83°44'45.17"W,47°05'34.94"N,84°38'43.30"W,46°39'34.78"N,82°12'56.56"W,44°57'01.91"N,82°53'11.69"W,45°22'45.52"N,85°14'36.82"W,46.02994,-83.74588,47.09304,-84.64536,46.65966,-82.21571,44.95053,-82.88658,45.37931,-85.24356,LC80210282016018LGN00,LC80210282016018LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282016018LGN00
LC80210272016018LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20160118143655_20160118170004.01,LT8BPF20160110081635_20160124145303.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/01/18,2016:018:16:20:57.9793240,2016:018:16:21:29.7493210,9,14.91,19.53943168,159.66177009,6.05,6.145,102,4,Y,LPGS_2.6.2,47°26'56.76"N,83°12'28.58"W,48°30'51.80"N,84°07'34.18"W,48°04'23.92"N,81°37'53.72"W,46°22'01.96"N,82°19'57.65"W,46°48'10.51"N,84°44'57.44"W,47.4491,-83.20794,48.51439,-84.12616,48.07331,-81.63159,46.36721,-82.33268,46.80292,-84.74929,LC80210272016018LGN00,LC80210272016018LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272016018LGN00
LC80220272015326LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20151122144246_20151122170618.01,LT8BPF20151113130336_20151126083607.05,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/22,2015:326:16:27:12.5111510,2015:326:16:27:44.2811480,9,48.17,21.16217633,165.49928191,5.104,6.247,89,3,Y,LPGS_2.6.0,47°26'56.18"N,84°44'52.26"W,48°30'51.66"N,85°39'56.81"W,48°04'22.33"N,83°10'16.43"W,46°22'01.02"N,83°52'22.33"W,46°48'10.94"N,86°17'22.09"W,47.44894,-84.74785,48.51435,-85.66578,48.07287,-83.17123,46.36695,-83.87287,46.80304,-86.28947,LC80220272015326LGN00,LC80220272015326LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272015326LGN00
LC80210282015319LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20151115161503_20151115175356.01,LT8BPF20151113130336_20151126083607.05,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/15,2015:319:16:21:23.7065020,2015:319:16:21:55.4764980,9,57.15,24.13766504,164.95725494,5.372,6.671,234,3,Y,LPGS_2.6.0,46°01'47.75"N,83°44'08.34"W,47°05'35.34"N,84°38'05.78"W,46°39'33.80"N,82°12'18.50"W,44°57'01.62"N,82°52'35.36"W,45°22'46.56"N,85°14'01.07"W,46.02993,-83.73565,47.09315,-84.63494,46.65939,-82.20514,44.95045,-82.87649,45.3796,-85.23363,LC80210282015319LGN00,LC80210282015319LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282015319LGN00
LC80210272015319LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20151115161503_20151115175356.01,LT8BPF20151113130336_20151126083607.05,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/15,2015:319:16:20:59.8239370,2015:319:16:21:31.5939330,9,65.93,22.8416814,165.56042349,5.846,7.205,180,3,Y,LPGS_2.6.0,47°26'57.23"N,83°11'49.70"W,48°30'52.85"N,84°06'54.68"W,48°04'23.52"N,81°37'13.66"W,46°22'02.06"N,82°19'19.42"W,46°48'12.06"N,84°44'19.86"W,47.44923,-83.19714,48.51468,-84.11519,48.0732,-81.62046,46.36724,-82.32206,46.80335,-84.73885,LC80210272015319LGN00,LC80210272015319LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272015319LGN00
LC80220272015310LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20151106144132_20151106170552.01,LT8BPF20151029161821_20151113130336.01,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/06,2015:310:16:27:10.4945750,2015:310:16:27:42.2645710,9,69.73,25.33804133,165.31825396,4.931,5.361,44,3,Y,LPGS_2.6.0,47°26'56.62"N,84°44'35.66"W,48°30'52.20"N,85°39'39.92"W,48°04'22.55"N,83°09'59.58"W,46°22'01.24"N,83°52'05.95"W,46°48'11.48"N,86°17'05.71"W,47.44906,-84.74324,48.5145,-85.66109,48.07293,-83.16655,46.36701,-83.86832,46.80319,-86.28492,LC80220272015310LGN00,LC80220272015310LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272015310LGN00
LC80210272015303LGN00, 021, 027, 021, 027,NADIR,FULL,NOMINAL,LO8BPF20151030161327_20151030175220.01,LT8BPF20151029121006_20151113000000.02,L8CPF20151001_20151231.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/30,2015:303:16:20:59.2737790,2015:303:16:21:31.0437760,9,36.4,27.49550546,164.86159561,5.983,6.695,148,-1,Y,LPGS_2.5.1,47°26'56.22"N,83°11'59.35"W,48°30'51.77"N,84°07'03.97"W,48°04'22.12"N,81°37'23.05"W,46°22'00.91"N,82°19'29.39"W,46°48'11.16"N,84°44'29.69"W,47.44895,-83.19982,48.51438,-84.11777,48.07281,-81.62307,46.36692,-82.32483,46.8031,-84.74158,LC80210272015303LGN00,LC80210272015303LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210272015303LGN00
LC80210282015303LGN00, 021, 028, 021, 028,NADIR,FULL,NOMINAL,LO8BPF20151030161327_20151030175220.01,LT8BPF20151029121006_20151113000000.02,L8CPF20151001_20151231.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/30,2015:303:16:21:23.1521090,2015:303:16:21:54.9221050,9,49.49,28.78274618,164.18421766,5.315,6.587,133,-1,Y,LPGS_2.5.1,46°01'47.68"N,83°44'18.02"W,47°05'35.41"N,84°38'15.22"W,46°39'33.55"N,82°12'27.97"W,44°57'01.19"N,82°52'45.16"W,45°22'46.45"N,85°14'10.86"W,46.02991,-83.73834,47.09317,-84.63756,46.65932,-82.20777,44.95033,-82.87921,45.37957,-85.23635,LC80210282015303LGN00,LC80210282015303LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80210282015303LGN00
LC80220272015278LGN00, 022, 027, 022, 027,NADIR,FULL,NOMINAL,LO8BPF20151005161645_20151005170458.01,LT8BPF20151005152734_20151005170632.01,L8CPF20151001_20151231.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/05,2015:278:16:27:04.7370130,2015:278:16:27:36.5070090,9,39.79,36.11375948,161.36866563,5.699,6.363,155,-1,Y,LPGS_2.5.1,47°26'57.23"N,84°44'16.66"W,48°30'53.10"N,85°39'20.74"W,48°04'22.94"N,83°09'40.36"W,46°22'01.74"N,83°51'47.41"W,46°48'12.53"N,86°16'47.21"W,47.44923,-84.73796,48.51475,-85.65576,48.07304,-83.16121,46.36715,-83.86317,46.80348,-86.27978,LC80220272015278LGN00,LC80220272015278LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80220272015278LGN00
